elias,12345
eee,eee
sss,sss
aaa,$2b$12$e5oZhh/m9xOhYC4blVWwxOS2hwtM8AvIVk3QC97POweCHwcRLp8jG
bbb,$2b$12$9sfILQnbKOmI2BWfh.UMCO.G1VhweADRCyMuvVL6Q9aVMFgsPR77a
ccc,$2b$12$WF.tYLb30wEiN1EL2S5ESewP4oh1ppJo819xy4IyJvoJI201zlAm6
bochin,$2b$12$D7nTzkPlG6p31sqt3fV.L.O3tFDCiNs07.D2TQ3Rr8Fg6oz7U2wtu
bocha,$2b$12$d2NJt2dwMZKRqjBh7Qpd5uNVYLugWdlfDs4fb6lS4g8C/LMqAS6zS
juancho,$2b$12$6Jr.w2xxCupJzcd1A5NOgOQtdNJBuV1Slg/tvL1RHmyJ4oE4whW/m
user,$2b$12$2zJmxVX2gRopYuvJYUfpqucKt2szDY3EpPFIPNKf0yB2ytI2P2hJu
elelia,$2b$12$FE5wJernCANHuoJNqSrIC.IFM2fPzSpiSisfqfZcNoj46lvKR.jYm
delfina,$2b$12$jldrv/Iu9eGfKvwRNAmYB.JROkdgR4Bn.On9/eBuqvNibAw583u8O
usuario1,$2b$12$QHbJ6iJ.18u9bO8H/MaweuNlX08RUJBsWcmwIEdgdNyBbGp29toIS
useruser,$2b$12$z2jO9hPy/TrgazzaCFrff.jfKv.IBKv3h3CjKdfzGjRYWw0aJ.kyC
